video_titles,source
APARECE TESTIGO CLAVE! SE FUE LA LUZ Y ALGO TRONÓ ANTES DEL ACCIDENTE. ESTO PODRÍA CAMBIARLO TODO,El Chapucero
SE PASARON DE CARROÑEROS! EXHIBEN PANISTAS SU VILEZA. LANZARON HASTA FEMINISTAS. REDES LOS ACABAN,El Chapucero
FUE MANCERA! FALLA DEL METRO SE ORIGINÓ EN SU GOBIERNO. SE ESCONDE EXJEFE MIENTRAS AMLO DA LA CARA,El Chapucero
SE LA COBRÓ AMLO! MÉXICO DESINVITA A ESPAÑA A BICENTENARIO. ENFURECE LA CORONA. RUSIA ENTRA AL QUITE,El Chapucero
SE ACABÓ! SENADO ORDENA ARRESTO DE CABEZA DE VACA. LO CAZAN HASTA NYC. EJÉRCITO TOMARÍA TAMAULIPAS,El Chapucero
JUECES QUIEREN MADRUGAR A AMLO! EL PRESIDENTE LOS PARÓ EN SECO. QUERÍAN PONERLO EN RIDÍCULO CON EUA,El Chapucero
SE ACABÓ PARA GOMEZ FIERRO! UIF LE ENCUENTRA TESORO ESCONDIDO. INMINENTE BLOQUEO DE CUENTAS. NOTICIA,El Chapucero
SE EQUIVOCAN OTRA VEZ EXPERTOS! CIERRAN FÁBRICAS EN EUA Y LAS ABREN EN MÉXICO. AMLO GRAN ECONOMISTA,El Chapucero
ENTÉRATE! ABANDERADO DE MORENA LLAMA A CIERRE URGENTE DE FILAS. NO HAY QUE TEMER A LENCHO. NOTICIA,El Chapucero
CANDIDATO DE MORENA SUENA LA ALARMA! CALDERÓN QUIERE ATRINCHERARSE AQUÍ. BUSCA EVADIR LA FGR NOTICIA,El Chapucero
NADIE LO VIO VENIR! SANTIAGO REVELA QUE CAERÁN MÁS GOBERNADORES. ESTO APENAS INICIA. GRAN NOTICIA,El Chapucero
TRONÓ LENCHO CONTRA CHAPUCERO! LANZA CAMPAÑA NACIONAL. QUIERE PONERME UNA TRAMPA. ESTÁ DESESPERADO,El Chapucero
LENCHO RECIBE TERRIBLE NOTICIA! SANTIAGO YA REVISA SUS CUENTAS BANCARIAS Y CASAS. FGR ALISTA DEMANDA,El Chapucero
SE ACABÓ! INE SERÁ PARTE DE PODER JUDICIAL. ZALDÍVAR ASUMIRÁ LA PRESIDENCIA. LENCHO SE VA. NOTICIAS,El Chapucero
RUSIA SACA EL SABLE! PODRÍA DEMANDAR A LILY TÉLLEZ. EBRARD SE REÚNE CON MACHUCHÓN EN MOSCÚ. NOTICIAS,El Chapucero
PIERDE LA CABEZA DUEÑO DE LATINUS! PONE A TEMBLAR A DIPUTADA FEDERAL. AMLO LE PONE PROTECCIÓN. HOY,El Chapucero
MORENA Y AMLO SACAN AS ESCONDIDO! DAN GIRO SORPRESIVO. ESCARMENTARÁN AL TRIBUNAL ELECTORAL. NOTICIAS,El Chapucero
NO VAS A CREERLO! SE EQUIVOCA CHAYOTERO Y REVELA PLAN SECRETO DE LENCHO. AMLO SUENA LA ALARMA,El Chapucero
AMLO TRONÓ VS TRIBUNAL ELECTORAL! REVELÓ PLAN SECRETO CON INE. LANZÓ ORDEN SORPRESIVA A MORENA. HOY,El Chapucero
SE REBELA MAGISTRADO ELECTORAL! EXHIBE ENJUAGES ENTRE INE Y TRIBUNAL. SORPRENDIÓ A TODOS. NOTICIAS,El Chapucero
