video_titles,video_url,source
"ESTO ACABA DE PASAR! AMLO ENVIA MENSAJE A LORENZO, LO DEJO MUDO! NOROÑA VA AL INE. MEXICO NOTICIA",https://www.youtube.com/watch?v=WWhrBau4WLA,el chapucero today
ESTO ACABA DE PASAR! FILTRAN AMLO HACE TREMENDA REVELACIÓN! FILTRAN NUEVA GRABACIÓN. MEXICO NOTICIA,https://www.youtube.com/watch?v=ErcEYF0SQoY,el chapucero today
"ESTO ACABA DE PASAR! JAQUE DE AMLO A LORETITO, LLORAN DE CORAJE POR DECISIÓN DE LA 4T MEXICO NOTICIA",https://www.youtube.com/watch?v=8PPk6-jWo1c,el chapucero today
ESTO ACABA DE PASAR! MORENA CIERRA LA PINZA! AGARRAN A LORENZO DESDE FGR. NO LO VIO VENIR. MEXICO.,https://www.youtube.com/watch?v=_U29L3vh2ZY,el chapucero today
ESTO ACABA DE PASAR! SORPRENDE AMLO CON NUEVA LEY! NO LO VIERON VENIR! SALVARÁ A MEXICO. NOTICIA,https://www.youtube.com/watch?v=vOLqw8pcZBM,el chapucero today
ESTO ACABA DE PASAR! CON AMLO NO SE JUEGA! DESPIERTA EL TIGRE CONTRA INE. SE ACABÓ. MEXICO NOTICIA,https://www.youtube.com/watch?v=ZpBVrOI_dI8,el chapucero today
ESTO ACABA DE PASAR! SE CAE CANDIDATURA DE MORENA! NO LO VAS A CREER. MEXICO NOTICIA,https://www.youtube.com/watch?v=dcn4HEoQgQE,el chapucero today
ESTO ACABA DE PASAR! NOROÑA LE CAE A LENCHO! VAN POR SU CABEZA. NO LO VIERON VENIR. MEXICO NOTICIA,https://www.youtube.com/watch?v=m4Zd8rxVIZQ,el chapucero today
ESTO ACABA DE PASAR! CABEZA DE VACA SE QUIERE PELAR! OFRECE SU RENUNCIA. SE ACABÓ. MEXICO NOTICIA,https://www.youtube.com/watch?v=H7veK_-T29o,el chapucero today
ESTO ACABA DE PASAR! AMLO HACE ULTIMA LLAMADA! CACHAN A JUEZ EN LA MOVIDA. SE ACABÓ. MEXICO NOTICIA,https://www.youtube.com/watch?v=6hV1YyaxQWU,el chapucero today
ESTO ACABA DE PASAR! NO SABEN COMO PARAR A AMLO! LENCHO PIERDE LA CABEZA. JUSTO AHORA MEXICO NOTICIA,https://www.youtube.com/watch?v=iQmf11baEdg,el chapucero today
ESTO ACABA DE PASAR! SANTIAGO HUNDE A CABEZA DE VACA EN JUICIO! NO VAS A CREER LO QUE REVELÓ. MEXICO,https://www.youtube.com/watch?v=jOdC6zK9C3M,el chapucero today
ESTO ACABA DE PASAR! EEUU PIDE AYUDA A AMLO! MEXICO TOMA DECISIÓN INESPERADA. NO VAS A CREER NOTICIA,https://www.youtube.com/watch?v=e5tdoVsDT70,el chapucero today
ESTO ACABA DE PASAR! JUEGAN A LAS VENCIDAS Y AMLO LES PASA ENCIMA! NO LO VAS A CREER. MEXICO NOTICIA,https://www.youtube.com/watch?v=t5SPvIm1oCU,el chapucero today
"ESTO ACABA DE PASAR! REBELIÓN DE JUECES, NO VAS A CREER LO QUE LE HICIERON A AMLO. NOTICIA MEXICO",https://www.youtube.com/watch?v=KWp2_WK34TU,el chapucero today
